Category;0 shot (no COT);2 shot;4 shot;8 shot
hyponymy - misc;0.38;0.56;0.57;0.64
synonymy - intensity;0.28;0.34;0.38;0.50
synonymy - exact;0.32;0.62;0.42;0.40
